WTCH_YM,ENN_LNN_MNTH_AVG_ANOMALY,ENN_LNN_3MNTH_AVG_ANOMALY,ENN_LNN_MNTH_AVG_VAL,ENN_LNN_NMYR_AVG,ENN_LNN_NMYR_STDDEV_VAL,UOM_NM
201208,0.718131,0.486548,27.55346,26.835327,0.818931,deg C
201209,0.448468,0.510377,27.143736,26.695267,0.834961,deg C
201210,0.364532,0.439605,27.06348,26.69895,1.01164,deg C
201211,0.505816,0.124375,27.262108,26.75629,1.177667,deg C
201212,-0.497224,-0.167164,26.079617,26.57684,1.219633,deg C
201301,-0.510085,-0.506613,25.984524,26.494608,1.164648,deg C
201302,-0.512531,-0.409859,26.155298,26.667831,1.007264,deg C
201303,-0.206962,-0.198955,26.973333,27.180296,0.817327,deg C
201304,0.122627,-0.13611,27.893864,27.771236,0.657626,deg C
201305,-0.323995,-0.181211,27.517412,27.841408,0.614643,deg C
201306,-0.342266,-0.308767,27.322598,27.664865,0.627709,deg C
201307,-0.260039,-0.365643,26.98358,27.243618,0.677102,deg C
201308,-0.494624,-0.233668,26.340704,26.835327,0.818931,deg C
201309,0.053658,-0.201563,26.748926,26.695267,0.834961,deg C
201310,-0.163725,-0.066219,26.535225,26.69895,1.01164,deg C
201311,-0.088589,-0.147535,26.667702,26.75629,1.177667,deg C
201312,-0.19029,-0.26695,26.386549,26.57684,1.219633,deg C
201401,-0.521972,-0.534979,25.972635,26.494608,1.164648,deg C
201402,-0.892674,-0.591593,25.775158,26.667831,1.007264,deg C
201403,-0.360134,-0.352734,26.820162,27.180296,0.817327,deg C
201404,0.194606,0.103611,27.965843,27.771236,0.657626,deg C
201405,0.47636,0.387193,28.317768,27.841408,0.614643,deg C
201406,0.490611,0.304183,28.155476,27.664865,0.627709,deg C
201407,-0.054421,0.136677,27.189198,27.243618,0.677102,deg C
201408,-0.026159,0.080569,26.80917,26.835327,0.818931,deg C
201409,0.322286,0.245499,27.017553,26.695267,0.834961,deg C
201410,0.44037,0.50747,27.139318,26.69895,1.01164,deg C
201411,0.759753,0.611214,27.516045,26.75629,1.177667,deg C
201412,0.633518,0.631756,27.210358,26.57684,1.219633,deg C
201501,0.501996,0.628156,26.996605,26.494608,1.164648,deg C
201502,0.748955,0.564183,27.416786,26.667831,1.007264,deg C
201503,0.441597,0.677825,27.621893,27.180296,0.817327,deg C
201504,0.842922,0.71512,28.614159,27.771236,0.657626,deg C
201505,0.860842,0.925034,28.70225,27.841408,0.614643,deg C
201506,1.071339,1.080535,28.736202,27.664865,0.627709,deg C
201507,1.309426,1.364143,28.553043,27.243618,0.677102,deg C
201508,1.711665,1.623209,28.546993,26.835327,0.818931,deg C
201509,1.848536,1.94713,28.543802,26.695267,0.834961,deg C
201510,2.281189,2.313398,28.980139,26.69895,1.01164,deg C
201511,2.810469,2.517682,29.566761,26.75629,1.177667,deg C
201512,2.461388,2.605539,29.038227,26.57684,1.219633,deg C
201601,2.544759,2.436752,29.039368,26.494608,1.164648,deg C
201602,2.304108,2.164762,28.97194,26.667831,1.007264,deg C
201603,1.645418,1.643649,28.825712,27.180296,0.817327,deg C
201604,0.98142,0.948795,28.752657,27.771236,0.657626,deg C
201605,0.219545,0.385963,28.060953,27.841408,0.614643,deg C
201606,-0.043076,-0.101889,27.621788,27.664865,0.627709,deg C
201607,-0.482135,-0.351475,26.761482,27.243618,0.677102,deg C
201608,-0.529215,-0.491844,26.306112,26.835327,0.818931,deg C
201609,-0.464183,-0.575906,26.231085,26.695267,0.834961,deg C
201610,-0.73432,-0.62486,25.964628,26.69895,1.01164,deg C
201611,-0.676077,-0.591515,26.080214,26.75629,1.177667,deg C
201612,-0.364147,-0.44402,26.212692,26.57684,1.219633,deg C
201701,-0.291835,-0.18875,26.202772,26.494608,1.164648,deg C
201702,0.089732,-0.00596,26.757563,26.667831,1.007264,deg C
201703,0.184222,0.2057,27.364517,27.180296,0.817327,deg C
201704,0.343145,0.313474,28.114382,27.771236,0.657626,deg C
201705,0.413055,0.380564,28.254463,27.841408,0.614643,deg C
201706,0.385491,0.357565,28.050356,27.664865,0.627709,deg C
201707,0.27415,0.193347,27.517769,27.243618,0.677102,deg C
201708,-0.0796,-0.046512,26.755728,26.835327,0.818931,deg C
201709,-0.334085,-0.269322,26.361181,26.695267,0.834961,deg C
201710,-0.394281,-0.562084,26.304668,26.69895,1.01164,deg C
201711,-0.957885,-0.774342,25.798407,26.75629,1.177667,deg C
201712,-0.970859,-0.885596,25.605982,26.57684,1.219633,deg C
201801,-0.728045,-0.801504,25.766563,26.494608,1.164648,deg C
201802,-0.705609,-0.736091,25.962221,26.667831,1.007264,deg C
201803,-0.77462,-0.670975,26.405674,27.180296,0.817327,deg C
201804,-0.532695,-0.475955,27.238543,27.771236,0.657626,deg C
201805,-0.12055,-0.162356,27.720858,27.841408,0.614643,deg C
201806,0.166177,0.091565,27.831041,27.664865,0.627709,deg C
201807,0.229067,0.227465,27.472687,27.243618,0.677102,deg C
201808,0.287149,0.284079,27.122477,26.835327,0.818931,deg C
201809,0.336022,0.504453,27.031288,26.695267,0.834961,deg C
201810,0.890189,0.703046,27.589138,26.69895,1.01164,deg C
201811,0.882927,0.896656,27.639217,26.75629,1.177667,deg C
201812,0.916853,0.827902,27.493692,26.57684,1.219633,deg C
201901,0.683926,0.773147,27.178534,26.494608,1.164648,deg C
201902,0.718661,0.802495,27.386492,26.667831,1.007264,deg C
201903,1.004898,0.819598,28.185192,27.180296,0.817327,deg C
201904,0.735234,0.833757,28.506472,27.771236,0.657626,deg C
201905,0.76114,0.702656,28.602549,27.841408,0.614643,deg C
201906,0.611594,0.601426,28.276459,27.664865,0.627709,deg C
201907,0.431545,0.3974,27.675163,27.243618,0.677102,deg C
201908,0.149063,0.18748,26.98439,26.835327,0.818931,deg C
201909,-0.018168,0.222223,26.6771,26.695267,0.834961,deg C
201910,0.535775,0.326179,27.234724,26.69895,1.01164,deg C
201911,0.460931,0.472389,27.217222,26.75629,1.177667,deg C
201912,0.42046,0.468848,26.9973,26.57684,1.219633,deg C
202001,0.525154,0.430998,27.019762,26.494608,1.164648,deg C
202002,0.34738,0.450258,27.015211,26.667831,1.007264,deg C
202003,0.478241,0.41186,27.658537,27.180296,0.817327,deg C
202004,0.409959,0.212876,28.181196,27.771236,0.657626,deg C
202005,-0.249572,-0.045158,27.591837,27.841408,0.614643,deg C
202006,-0.29586,-0.234541,27.369003,27.664865,0.627709,deg C
202007,-0.158191,-0.338824,27.085426,27.243618,0.677102,deg C
202008,-0.562421,-0.462416,26.272907,26.835327,0.818931,deg C
202009,-0.666635,-0.797757,26.028631,26.695267,0.834961,deg C
202010,-1.164216,-1.030081,25.534733,26.69895,1.01164,deg C
202011,-1.259393,-1.14715,25.496899,26.75629,1.177667,deg C
202012,-1.017841,-1.06793,25.558998,26.57684,1.219633,deg C
202101,-0.926556,-0.943364,25.568052,26.494608,1.164648,deg C
202102,-0.885694,-0.788321,25.782137,26.667831,1.007264,deg C
202103,-0.552714,-0.672912,26.62758,27.180296,0.817327,deg C
202104,-0.580328,-0.483743,27.190908,27.771236,0.657626,deg C
202105,-0.318188,-0.307687,27.523218,27.841408,0.614643,deg C
202106,-0.024545,-0.177667,27.64032,27.664865,0.627709,deg C
202107,-0.190266,-0.1686,27.053352,27.243618,0.677102,deg C
202108,-0.290989,-0.250441,26.544338,26.835327,0.818931,deg C
202109,-0.270069,-0.452468,26.425198,26.695267,0.834961,deg C
202110,-0.796346,-0.647614,25.902603,26.69895,1.01164,deg C
202111,-0.876425,-0.912733,25.879866,26.75629,1.177667,deg C
202112,-1.065429,-0.934068,25.511412,26.57684,1.219633,deg C
202201,-0.86035,-0.884168,25.634258,26.494608,1.164648,deg C
202202,-0.726725,-0.835178,25.941107,26.667831,1.007264,deg C
202203,-0.91846,-0.879209,26.261835,27.180296,0.817327,deg C
202204,-0.992442,-0.992235,26.778795,27.771236,0.657626,deg C
202205,-1.065803,-0.911549,26.775604,27.841408,0.614643,deg C
202206,-0.676401,-0.783569,26.988462,27.664865,0.627709,deg C
202207,-0.608502,-0.763389,26.635117,27.243618,0.677102,deg C
202208,-1.005265,-0.849377,25.830063,26.835327,0.818931,deg C
202209,-0.934364,-0.929867,25.760902,26.695267,0.834961,deg C
202210,-0.849972,-0.908448,25.848976,26.69895,1.01164,deg C
202211,-0.941008,-0.88014,25.815283,26.75629,1.177667,deg C
